[2025-08-19 19:43:57.484] [info]  No state version found, assuming empty state.
[2025-08-19 19:43:57.557] [info]  Coredumps are disabled in renderer process
[2025-08-19 19:43:57.557] [info]  Disabling memory dumps in main process
[2025-08-19 19:43:59.247] [info]  [Native Messaging IPC] Clearing connected apps
[2025-08-19 19:43:59.248] [info]  State version: 72
[2025-08-19 19:43:59.334] [info]  Retrieving application id
[2025-08-19 19:44:05.799] [info]  Retrieving application id
[2025-08-19 19:44:05.804] [info]  Retrieving application id
[2025-08-19 19:44:06.972] [info]  Retrieving application id
[2025-08-19 19:44:07.503] [info]  [KeyService] Deriving master key took 217ms
[2025-08-19 19:44:07.506] [info]  Retrieving application id
[2025-08-19 19:44:14.526] [info]  Using SignalR for notifications
[2025-08-19 19:44:14.796] [info]  [CipherService] Decrypting 0 ciphers took 0ms
[2025-08-19 19:44:14.815] [info]  [SearchService] Building search index of 0 ciphers took 18ms
[2025-08-19 19:44:14.830] [info]  [SignalR] WebSocket connected to wss://notifications.bitwarden.com/hub?access_token=[REDACTED]
[2025-08-19 19:44:14.830] [info]  [SignalR] Using HubProtocol 'messagepack'.
[2025-08-19 19:46:19.381] [info]  State version: 72
[2025-08-19 19:46:19.384] [info]  Migrator MinVersionMigrator (to version 3) should migrate: false - up
[2025-08-19 19:46:19.384] [info]  Migrator RemoveEverBeenUnlockedMigrator (to version 4) should migrate: false - up
[2025-08-19 19:46:19.384] [info]  Migrator AddKeyTypeToOrgKeysMigrator (to version 5) should migrate: false - up
[2025-08-19 19:46:19.384] [info]  Migrator RemoveLegacyEtmKeyMigrator (to version 6) should migrate: false - up
[2025-08-19 19:46:19.384] [info]  Migrator MoveBiometricAutoPromptToAccount (to version 7) should migrate: false - up
[2025-08-19 19:46:19.384] [info]  Migrator MoveStateVersionMigrator (to version 8) should migrate: false - up
[2025-08-19 19:46:19.384] [info]  Migrator MoveBrowserSettingsToGlobal (to version 9) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator EverHadUserKeyMigrator (to version 10) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator OrganizationKeyMigrator (to version 11) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator MoveEnvironmentStateToProviders (to version 12) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator ProviderKeyMigrator (to version 13) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator MoveBiometricClientKeyHalfToStateProviders (to version 14) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator FolderMigrator (to version 15) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator LastSyncMigrator (to version 16) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator EnablePasskeysMigrator (to version 17) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator AutofillSettingsKeyMigrator (to version 18) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator RequirePasswordOnStartMigrator (to version 19) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator PrivateKeyMigrator (to version 20) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator CollectionMigrator (to version 21) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator CollapsedGroupingsMigrator (to version 22) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator MoveBiometricPromptsToStateProviders (to version 23) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator SmOnboardingTasksMigrator (to version 24) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator ClearClipboardDelayMigrator (to version 25) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator RevertLastSyncMigrator (to version 26) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator BadgeSettingsMigrator (to version 27) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator MoveBiometricUnlockToStateProviders (to version 28) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator UserNotificationSettingsKeyMigrator (to version 29) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator PolicyMigrator (to version 30) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator EnableContextMenuMigrator (to version 31) should migrate: false - up
[2025-08-19 19:46:19.385] [info]  Migrator PreferredLanguageMigrator (to version 32) should migrate: false - up
[2025-08-19 19:46:19.386] [info]  Migrator AppIdMigrator (to version 33) should migrate: false - up
[2025-08-19 19:46:19.386] [info]  Migrator DomainSettingsMigrator (to version 34) should migrate: false - up
[2025-08-19 19:46:19.386] [info]  Migrator MoveThemeToStateProviderMigrator (to version 35) should migrate: false - up
[2025-08-19 19:46:19.386] [info]  Migrator VaultSettingsKeyMigrator (to version 36) should migrate: false - up
[2025-08-19 19:46:19.386] [info]  Migrator AvatarColorMigrator (to version 37) should migrate: false - up
[2025-08-19 19:46:19.386] [info]  Migrator TokenServiceStateProviderMigrator (to version 38) should migrate: false - up
[2025-08-19 19:46:19.386] [info]  Migrator MoveBillingAccountProfileMigrator (to version 39) should migrate: false - up
[2025-08-19 19:46:19.386] [info]  Migrator OrganizationMigrator (to version 40) should migrate: false - up
[2025-08-19 19:46:19.386] [info]  Migrator EventCollectionMigrator (to version 41) should migrate: false - up
[2025-08-19 19:46:19.386] [info]  Migrator EnableFaviconMigrator (to version 42) should migrate: false - up
[2025-08-19 19:46:19.386] [info]  Migrator AutoConfirmFingerPrintsMigrator (to version 43) should migrate: false - up
[2025-08-19 19:46:19.386] [info]  Migrator UserDecryptionOptionsMigrator (to version 44) should migrate: false - up
[2025-08-19 19:46:19.386] [info]  Migrator MergeEnvironmentState (to version 45) should migrate: false - up
